,Name,t_%,y_var,t_0,file,Rater,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
14,P3_D1_G1_M1_R1_T1,0.30000000000000004,3,70.78212389509582,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.4
15,P3_D1_G1_M1_R1_T1,0.4,3,78.5077859408722,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.4
16,P3_D1_G1_M1_R1_T1,0.4,4,81.35776986457824,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.4
17,P3_D1_G1_M1_R1_T1,0.4,5,95.4771349103546,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.4
18,P3_D1_G1_M1_R1_T1,0.5,6,103.97502793705748,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.5
19,P3_D1_G1_M1_R1_T1,0.5,5,116.54580790653992,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.5
20,P3_D1_G1_M1_R1_T1,0.6,4,126.86846997138976,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.6
21,P3_D1_G1_M1_R1_T1,0.6,6,136.30577995231627,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.6
22,P3_D1_G1_M1_R1_T1,0.6,7,138.70482096376037,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.6
23,P3_D1_G1_M1_R1_T1,0.6,6,144.42254583406066,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.6
24,P3_D1_G1_M1_R1_T1,0.7000000000000001,5,151.48324409536744,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.8
25,P3_D1_G1_M1_R1_T1,0.7000000000000001,3,158.088925956131,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.8
26,P3_D1_G1_M1_R1_T1,0.7000000000000001,4,161.133534,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.8
27,P3_D1_G1_M1_R1_T1,0.7000000000000001,3,166.60171381880187,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.8
28,P3_D1_G1_M1_R1_T1,0.7000000000000001,2,169.24204100572206,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.8
29,P3_D1_G1_M1_R1_T1,0.8,4,171.36337384931946,P3_P3_D1_G1_M1_R1_T1_FLOW.csv,P3,P,P3,D1,M1,R1,D1_M1,0.8
